index;signTime[nano];verifyTime[nano];data;pubW;privS;signature[SHA1];nonce;verified
0;5017225;15425346;03d68efea5f2b189c45d696f35e3cfd7;04c6aaf5886c201ef1f97bcdf25ac41da529cd325f1ee26daba29b180c472ded8d626eb4f108e3729238bf0dd644ba7520ae5dc854c7c95be7416fa921036e39eb;00ac3b120a675eaad0a3050e8ab4153ab5346fc8a6428641a9172688f6faf272ca;304602210087df42f175f6c10bede55da697e725e1b1b2174ab1e142378fa5cf1dc6b8424902210090893f89509f657b0167c7e8b55f64f5d4aa676afc45fc64232c657adf60f62a;771b1f7bb6e0762b431e8ef6d1f7ed43a70ee65739da60c2f4521d30eb8d704b;1
1;8668284;9537171;240af3f15b2a12d1f9c956b622287653;046764673e1681cc8d0d6cb22d9b5e756bd3c5cc1fe98b8cba56b7ab2eb12386341a4a16737c0c163dceeceaffd51c68d502c140811091aed30e2348c394782ab6;78570ed1d622553354a3b125724629beaddab126de41556cbdfd3d83c3cd8f83;304502204fd593966ccbc32ed2075ce789b2601e6b3c162824091d06184405175d0ae8e2022100e5e3534ae328e222cb44ce7d44e556991ae7596b657d05432ae30fa7eb132dcf;3741623dc7c886af1900e8b2b396ddd44ed09de529eca4a249546d16a27e9492;1
2;3222353;7575442;e67c15fb1819fa4319e8cf16a4160900;04906e4a3ecd8d93b62df972dba7b3ee5f012fb6b858d77306fde81cc19e39aa5048d61bd1f9d3cd14762a29bf6ae8cc3875d20b2f896ba0ea8594597be4eba3d4;00c32e9d1b9f0c149549f63eb14e2508db69374a027c6c12d74f8118cd0109bc72;304502207687fa61d851db714554f64af5c4051ec2469525e16de54622b45558044f0538022100c6dcc80d036381631733f5107b29d7186f1f054fa476469c5ce1167b72d795e7;00c74a328833a83b521698dbd0769c8e6b52da5a3af6d85f813a555ff53e7e5531;1
3;3965910;7860314;341cd3f3c1d054f7e7657ff377292a23;04ce14a684224d6c92f9feaa9d1255036910ad2788ea3305b218a040e28eebc30ba6823b8fb8b195e42892ca1dab1bdcb15d1807bb22c95960d72b47c54af28c4c;00970d755506a4dc6e5a002649c6664ac1e343607e3d1b73592a47d9f5fc314d08;3045022100e238e5c6a48497370deee644b881b0971f15aad0f414d0f879ffea827cd19a0602205de82404e49d1fe49f465c2cdacbc9bae0bfe847c95ceba02e79157c2ebc044e;16ba626c6df19025694002fbc259c4c9eab2237a5b4e9b998340b1736c7177d4;1
4;3172037;6287917;47b0caef9fe280bbf75e25ba0bf00d66;045363ed353f1c82600d0134e37b6e0a9a74031a8ed8fbfec02a617569b556ba30bae65aaa318d461d70e2658d3199b55a69da684e99ee994ff59cddd6a9c9b743;0de725fbb81ffbdbc644c587d438197f509e0648fc2a486609845f834c8da62a;304402203cd3b8a277a01f6ece4e3f115b25dbcac68c333a0833e3e1e3d69f446effc4bc0220124841f4d0913ba27cf5bc8e1ca2a2542469ea0505460aea3cd433444e6f86c3;008e57afe89aa60fa91c9d05d70141f4c553240babe707b4cc2d2df3cf3231d1c9;1
5;2017225;5788194;25998282cb7f103872d696b8e9f5a572;04a488c6c83cc4835ae7307ff65fa4339150fee9bfcecdc0ff826c617f2604b9c119f1e213876befa220873a9efeaf4bf0ea5bcbc5c3d432a0c896d7ed10259414;3aa1aa2922a902010e188fbb37e5aa885d65afeb4e7a728a55f01fe45d372184;304402207687fa61d851db714554f64af5c4051ec2469525e16de54622b45558044f05380220441fc684cb42aac69adb6940f7eadb859f0920a8f1f154119f8270502423af04;7d31333cfd260dbd5590d8f1d20aedda1da66d3626bb745a6656ff02e48645c5;1
6;7700038;3011381;1775b5b21dccd5d778ded23c6eefa692;04726d6440a7de7d1120a133cc7878d5f8b5979d266d7b260e93c41bc0f731a77b7a5c3013605269ca4a685b572c72cc36ec513b57886b464c8132b976a69689cc;00e08da9e17c6858353ee1f78eb32680855bdd4be46fb8f8723ae7177530896a7b;3046022100a5d5d5d29104395ebb18b90ed0f55db073d2f2131ab242ae46edb62f77c8272b022100ab576bc4301bf347abed96bbed2c33b00d0d618714afbe59bade5078ce5807a5;00d97e6439260793d5af0b158e5de41c382c6b79f22b0f4f09ded1885f25feb21c;1
7;1196691;3145076;2cc987450221d6ccadc2d5bb2b90590b;0496b875eeba33215b6f9febd802c05c83540c18b4b3445186d7411d76cda8eee8c5c9b88903664b027447473e34c01f5b02d6d6945bc78a24d81f0e67bfa3cbe1;24d97beefc8516202451226cba3db7fd0079056025d436b5b62e5b7d8d44122a;3044022042b966d11554012638c3c497d0c1ce4f3a63574f77ebd5d0b0cf962bba317f6e0220168672e06c27f08229c9b9b1bb69e275341e407d50512b70a8368aa641ba34a0;0081b13261d2959237ea227b22242d11b702e88234fb089d0fec11cf572bb4494f;1
8;1063136;2830676;fb6906487a93164ae58c53a206a45a6a;0447488a0816c98f1a5eb3f29aa792fbc4395f9266c56b3bf3f9b0b3a959fb0b208e27b8c59e668e272fae9cc0f0f6cfc2e9d0ddfefb2a9acbe9376e535a995fa6;345cecdfac440300c1f3e83e68e5f2bf49aa2e77eb7b8713eff50e7eae011e77;304402201e6fc4db4aaeea73a6357d96556bec7a997a460d0f15e501158ac615b4829800022078e231271355424f3d471c90eaf6789365aa602cc3ecfa14ef7b39ca51bf291b;00a61eca5352212dc93a7d12943c88dfa11184d08a15d80147d35f292e25970bc7;1
9;1087714;2906571;b7922913ca6cd4711dadfb3061018c1b;043cd3b8a277a01f6ece4e3f115b25dbcac68c333a0833e3e1e3d69f446effc4bca0b6c755a9b5bceedcec1cb71fbe92b75dd4248ac8114790f05ad896525693c1;0090789066781589fbb003b2f1f970b5ae90358658922fccddb0913e8d1063c76b;3045022100ba7316fb0085063fdc49772547717ae03aaa182fbdffdc1f30054066baa8eedb02206571518c224420f5a3992283c3af696ded9593648f13eddc62548de7ae7f7185;59a2a6a600f14fbaa9e115aa340272104ada51415fae277ce27898cd4eff1bba;1
