index;time[nano];pubW;privS;secret[ECDH]
0;0;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;3d1156f5c71ff27328664f0ce230626a16708ecc86347654f983bc46679f429b;0
1;0;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;324279fb0077ea104caea1177210eeab6f604fab631c5508debf2a4e3544c9d0;0
2;0;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;315f99d2cbc8b6359a8a4965e2cc4181cd0f10bb9e94468899c5134376a42cb2;0
3;712017;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;13e3955cc4e52c36df8f39ddbead32e89d23bd211013f1dcc0f79777e48b9bc0;866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f5
4;0;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;1214e5cf64d44f1571bd401a8b99cef8eedad244596d17511a15c7676a613199;0
5;0;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;1349d682c08fcdbe569f20d5a245829a058bb08d874c398282354ac43f22e593;0
6;597703;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;4ff7620fc71cffa2e1f09bde912adce7bd3fe29535539ccd36cb5bdbcee0f457;866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f5
7;591992;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;24292387104a97fbe059e602bac474dcc75a9be17703f3b24d3f4f35abb19bda;866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f5
8;596951;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;28adf952827d51823de2aa8aa6ef96bd6af240e0d87249784bcb0f497c0ab614;866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f5
9;0;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;35f01d186d436ae26a2b42be5fe3710d94434f5eddd3f9163cf366d2d05a902a;0
10;625995;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;091be6d4f0380cc43fc0402fcd2c26436d72cfb372c54d2e49cf4399834b5a52;866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f5
11;595309;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;262213760070b5695c28ba6bed8d78436d67720427b81412543fe88e2f937390;866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f5
12;0;04866a59a3c8c60de3947700bff2c91be97749114e31fc389727c55ae7aba9f6f59e9893a290a8ab4507f241f384ba3332758054adf7d8f3156ad02afed128deee;32b95f909209d8eb516b6668812498cc38f74c6aa4e743c24024ecb55ae083f2;0
