success;error;signature;valid;data;nonce;priv;pub;curve;params;apdu;sws
1;0;3045022100a3cc73fe01fddbc034eceec8a192e6053df212d4b305ee2167fac24fbb6d2e7202206911929eec4a9c2044bc24f382351aef3b99bd374b6429ed6a395515349647d3;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;3e2add9710b97748f653ce59515618e2c8c8bb44c336d58c1e9d0fe2c00b8eaf;70472fcff48f0a2e0a23e1308d736ccfa6a1c1c9a916977775de55ff1f33aec9;04469ef560119983e4e767fd28931555a2c7f1e343fb93d94e984c6dfd6e4e02a71fd8b1d01cb6b1c1d499bee24b4eca500bfde58e2c9f0b81ff50e6a7206669e7;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;304402201051098764d3373c5ad96c9decdbcbb1ee0a2b5053aaf393d5168046ae57cbb4022015c2a99b1fa8c7af5746e22ebda9651de2dbbcfcbb03ceb0d79ca4552cc4a6a6;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;1c2c8f323d8a7677cafb3150ea593e4ddf91ec135a9fcd73eb02a70687ab98d3;6852cdfe9f806c92bc75a9bc3fc9767948935613ef2b95b17c0867c4172ef6eb;04344f3ace28a936f17ff0483b4087ae16159daa358fa4c2b17050a33380bbabdb31657df5a7195a9ae4f3d9d49e4741684805ceea40d961e57cfeb4382c9c934c;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;3045022004da9168231642984cef4da1e4f9c1fca79f920c2a0dfe7f9a1aa5ff679732260221009ae0d486a58532d874950e0226d397ba5c8d154dc21b81dc6022f51ba93a36d2;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;00c79ba803a9d294cfc848994c46fe6968e0c56eaa9df7c6a129b4c5164c390bc9;b9d87fd5c22f2ab8232a085ec114cc02ca7427c6235ebc0f8c2226e3a304f448;04aca1f50b2bc30aae2dba691fa4badd476887159f7deddc295ea7a7908e38f5f91810de2bcc8aff20ffe8866275ec03530d2bfc94b87b37e099288efe39f6d164;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;304502204242e8c62a3104f91f7c7e3b14a3d1a96bfac4d26addafbfdfaa95df3b4fe4540221009adbb4a7dda627eb9166d7cfe3fbe99580ca96805190fe5f152b13c1c67acdfb;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;00b2165b38a830cc2ec573104e9f22827d9fbf8eb228b3edfe1c1a95f6eebaa48b;911c7ce0315697156b6c484fe2190d4cc1abc15606c0073491954b755dc67703;045290f3ea6ca6ce145ee2afa1a0778e7a2a7386dc0cdd1d01c59fd51bd8ab60398f0b446fd275414a551c22b244e0595c22629675d6a43b32ab450c963e7da3ee;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;30450221009332207d68a3fffd73a088e699b156d26488f980e959862faaa3768872523472022017a2e492c0490f5a32c9db2902097a02df1b68ce67844512dee9c4bc9f134110;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;7cdb7e010f2f001f7986c878c3d1e490ba83f6dd21c8805035c9cc7971d85fa7;6ea4e4f720cb81fb4e304e219e4113e5cadc3cb32e926058a36e2575a0fbe488;049384cd3c6ea089afb62f5f0b057257f490a694bf64e574e0ace6bd8a3f29ebf90b8436f234a92007880c9e645809a841c8e2907f05852a7f1c5ef49b2a006097;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;30450220125f7c466719130f7f450478738702c5f2adb9573f4fa86abca79d2ef6515eb4022100ba8f523131497563a138401c9bd9ae62890d2472da3b2c57246167b6ccaa3b66;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;00b6aec50cea53b5a6c3fa0dacb4b7f826672fbf806793baf5c8d14e522893b7c8;21c6462a7c38d91ac2f811584858b292cf1d8ce721a113a340b3be208b923eb2;046cfd876fe80b7b70568eea2e141032dddb7f1761c6b41b5084f8a3c982878d2ca2c4da6004c5385a7ec90dee6e19bd05beb877d8878cd178454e9c52a0b43c4d;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;30450220553e71518f003ba0abf1c5a198605851a5056e0b926dcfdb3134df67a45fff17022100a08a1c694eff87d0b77ae8ded2e0d28c8d20bfe6f3a33d41edd6e06c9589627c;0;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;;af005f08f76c4a4b9a5af47e5b030feb72df27cf2b0a74e04eda27adf56fd48b;0441cb4d755521956b86a4a45dfefe6dfb3e58d84f61927f9dcd27f0681d0f8c73b8113bcf844939ea5c41a08293f21fab39cb00c1faebcb6329d3186b31720d38;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;30450220441bed77b77693e9210143750152e3a149d8a41c27f86ae24be2971f494221b60221008278b9c788bd30dffd5bd99682d686844de42711713e83a5b476b4f3cfa79d64;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;0d3ff267d6a5f54aee49df7b70669a0b6a831767ca31d29228bae43a3755b174;7bfe1c85b61927c624d755f02ccf6fa2decfe09b9bcfde1b62cd1228a16038f8;0409120aac61ebb4c14e4d9b2a027ce2ff116312e959ae4cf9f6c6e29d60a6b1e76e13236e9299ad5725c8693414607c8ec2514c29a074c008c77fb63ddba56369;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;304402202c0977f5cf6618963d39229a787213aae2ecacaf3ad7994a265b5898e8729e82022044cb17e76983ccd0b40ffed0184de2dfd70ee4b6c06cb0a6a307dc5690bfd17d;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;239d0c65ad98dc545ca12954f793fcf0838dd4ea496981a5404cc6e87d714851;68a3816bf8e9169d0fb88ca051df26f4e563c9536a6f3848bf50f8c0372e8c8d;042fa54ad19b26887ad3184d614b7ff7805c2646743dcb66d146b78a41407c27549a3c6fd0437b5d428aa3562df4184e14168bd23ebf61c3107335f111636d1bba;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
1;0;304502206e1c05304d9a1793d093b47260c1997b3a13ded5288be8366b2a66e5ecc75aec022100bd79b61bd4a163ba0b98613d6ec66f941f7a43f56e882365612c8ba4e915c4da;1;ba5a480c02a265261a2a667a0ce2cb940e52aeeabeb4cf7454f79ad49f3c5ba1;691bb61de7d005982df46275ae6ebf2d7e6becfab3e24bc91d32261574724bf8;c75bc441bddac8e5e84716ba5551967526770da730b3187eebe1371b35c59475;04bb7950eb6fcf4fab890a2f86315d5dd33261796a80533fb9ba78bfb5911e4b848e12196bd414683e4bae0ef93383a42ac50169296446b5ddd74bac0a778a3fb1;0xc7a3ef9fa4ea63b537eedefc6bd52c3f35dc45be933d44270a1536c2ff9b6543,0x395f3675858362cbe7ac0d3e85708750aa42428368ae6ab1fda0d2a56255039b,0x61ca87695d4f6147b35975326eeee1a77f93226487315cd2419b4a1fe23f32d1,0x56e9a905d29f0f512cf709522bdd43a862d4e32c46268eec2f4c3fd9a70cb9d6,0xaf77a4ef604d33e3cf6c2ecaaa2913a5c51660e40365832ab98488950f3c348e,0xc7a3ef9fa4ea63b537eedefc6bd52c40f5e8e3bfe0f6dd05ac513edbcaa3cc47,0x01;;;
