success;error;secret[SHA1];priv;pub;curve;params;apdu;sws
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
1;0;c39b1837421c684032ad18db5815b96cb0e539dc;0x48fce0ec0d8878ec2de70b8eef53394348a7469ca7372457c3ce4ac75c237a35;0407dfb85cadf636a2040013dc1926435d0f13e31753362085d429db8d39117dcd6e58c00c9e46c27402e08fcd4fc9b755e9ada499884802d53b959f36dcaa6206;0xb193038f0e7fc3f584143979539a9523d5436918d367796f7b9004349d898315,0x8e93451f2111430272f73e29e8350a6c948006629eb5875267d3cce205760ad7,0x11d633bff21565021f1db316f40ae3c5a13210846d59b316109d875a8ea022a0,0x3fc7eee0cf3f5376f46f0e8624c21b7c62e1116e6af1ec0b31224e040fceff45,0x64c005b4be2678741b04a14918f62fb34eb3ee57851676b6cf811ed0fba119e1,0xb193038f0e7fc3f584143979539a952258c981c7873fe1fac20a1cbca9cd4a91,0x01;c39b1837421c684032ad18db5815b96cb0e539dc;90000014c39b1837421c684032ad18db5815b96cb0e539dc;36864
