index;time[nano];pubW;privS;secret[ECDH]
0;423935;04932d69becf37eb75dc8decd73427928b09811a8065655706b512d57244c024523a96cb2051ec8c4ba4705430c9c13ec52f4fbda4aaac6921c4071a61481cadd4;46b86a4884da1d611fa4eeb766e53342954e70febd5a0ec4ac3addde36553281;3155caaa14e6fcae1da389eb8d5644fd046f177ee3f27e62a761f8068fd973c3
1;293921;040a50cd8ae954c6bde8f8b138bddf297a3a360c71c8f8400d6fd1f298598d49ce8df86fac67c86f2f7ef10044a00bfb193958261b64cada979cbb6794c8bb42bf;55c3be3588e23711abd0610a808c1386c0fa4c19c73c9e34c993d50d93b2bd0c;2fef2950a342c9c3c7edff7ed24ec17ad08430cde9a38d94453ede178283e7ec
2;265127;0472dad3b5b6c67639af82d3e4a5c51b3bd078f4f9377e99c476c8bd434ba31fee6d5538ff54fea86ddf9c1da0748989f8717896776131924a64d4f85bd4e211c0;00a4426249eaf2b947278a8c02c6f384e7bab61deecc338aba891781574f41f0f0;9240ac095495f0acea756954fff9c4106c28757f3ac7113374b5dd1b143b1b52
3;244609;04a1c558584224604a362da4f84e0755772edf1488d840b226282e58480c9c2a7422a99f0e25642b4a0fff433fdd805d86331fd2b34628c3316e51a359895d3f7f;138938c7dbcda1832cac1191bfd104ac5989e2febf2ad4c3b6e58a197a8d099b;79ee2e68f359c3444447957a8edcb90e28395c3b8300be34a15361e6436a55b2
4;266239;045921f8d0a7d906fd127fdaea15b6bf808b6b2a5215dc5e5715f2cfb0dc86aeaa29bf6924d328bb3507aeabc1d8c7f896ad95de00920cc29991bd154035978f58;49f54550569afb8d061c3385ddfd8fc321b84497089c60a1588d97e8164f2990;3ca6fef291d17fe1228293059a5f994fe797c66fa3194f8ecf4daf8e0ecf981f
5;230052;0490526ab57f6cbd756162e8070c5bae8e5a74c3147efd2e75f2bea5f9bfe6326d50fe34b8c847a5c7be841a7d07d12487638db7f5e9a060e6d99d1fac37a2408e;6841687169a6a8c2fc91808549395d72c864cf52a76213c4ae5007b162da0467;2ff62e56c5d6cd0b7b60c24885252d3e480628041e31021c08128ef97684c6c1
6;214512;042222124fec14379dff011f1f44fe2d4ab58e77a25a7bf7dbe6b99fec9ab2fb749a82f2fe7b5785a717c88a71112551f9d3d41a14ec15cf23d8d5040858ab66de;7bc366d037891f4f0162a540b58b939f5d753b98b9661d5aeb3904d5effe53bd;31b06d7e0423dcf7e2dfcd66b744e654d0ef4cae25ad1a41a488b3f25322adf0
7;235853;048b4e78d08e1ebc1b26c2a6b744cf0faed76fbb6aecde1108629bbfc256b71f35966c5529c69db91cd2050e55111329f8ee7142e371135e40972c42fabca23507;4312f6ef46e20d256942eaa961397a05d2d88d45658df1a9efe68f3e1db7215b;428827d103a593b076c64233e615a42edb51decb66d4321a0d7f6f58bdc065f1
8;245631;0451124952ae58585107c6f5dbe1afc16842b7720347542dd2658906fd1fb8fe0e67405e21d5416efc70a3ac2c8d3f7c65f28f9db02e56db9d1a6e10aa911509f4;649f5413959ab0869adac3e663498aac5c7880f592eb94ef6df75435543b986d;79334f3654e3200fb3e76c7f57ddaba885e1ea754725bf9f6e6b77e0cb429d7e
9;235221;04a9740f62899942be16faedce3737413dc8fcb37a57508fff16311ea4cf4ed2d93b665035525801c901e6a470623b8c983025936dcd94dc01346b089ee40f987b;259e43015961e583b4a272c7faffd5d47b83833f37b5bbcdaabc9652ad72434c;904b94bbb0bcdb8fa8349e882cfbe2174b8172891da267e9863371c790fd7a6b
