index;time[nano];pubW;privS;secret[ECDH]
0;446438;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;00d63c4568e263880cec9e3517cc15f2035155d6412d5e35ae8390a658c9b96f;3f928789ddef397dadc6addfd293ee5c1992a9dc74d42bc40c1ae2313697a2d6
1;434176;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;1d7248dd62e19bd7cbaf994e6ca26ca9d2ce57022fbcca5d549603bb130071;0bf123a6efdb2b307f4034ef125815f56b086c3ab2a9aa4ee65fed0124d4f41c
2;444284;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;728e5c5ce9cef355538b75628643d8a61ff46e6b9c188f595d20b79f978784;5c7e304196bc5e449708bc3eec6e75afe5f9407bd95be97a745320e3e4d9a186
3;478018;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;191ae67fa462f4608cda4f97f57583a966b05b5ec798fa130fd5ef85568efa;50910788afd331b3a58e9eaad660c19b7fb7906d265157c4231da94e408620bb
4;449143;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;6ef01c59f84828488d5fd4a588d3bcca0efccfd6a5d47471d23c890f8a548d;3f3c80fb9544c2ab8f47426d41b5a2b12280f03ae8e44d2696ca03000577a56b
5;429036;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;0080b194c747af0b5029a64bffe520bc8de0255bee017e7a4ccc24569beb6797;9881687035511323391960ca8696f00b8aada83d16973ea448382b7355a2ae0e
6;470473;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;313141179523413928765aeca1c1699152a37e2d02173af607c1f246ca1ae2;6c5845950d801033e5093eb5a8dde933d94bf12af65d9b75c233c77c93cf4c42
7;463561;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;31dd7e6456ca489c6e7456bb51c2f37da802928a44439bfc0319b1f8c509e7;554735fbefa0a1b42dee509bd5f5691652fff613ee0e8df6a574e3ca00f07a2d
8;452209;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;00c91a441d5c07464d44800beb218ea5b76474f3c423620e2896c9aca593b40c;81e64c8ca9953863cae3e518aa89bc3636dce9b10e7297c7aa45d5fb6006527e
9;505028;0487d12340acb757fae6eecc8709b9fb0455d1bdae7389fa220e50b49078ffa54a75890f8b4e4a318954187c48359f4270d8b389f5cba266b2a72fa4c814433d9d;008a107a5c3f1bdf6804ee90af1908686a759807ec290b25e18b5d7209b9a15f;e49dbb9055ddafdaa4cc14f7a03fef22e54cf5cd965fefb0f8203a317d681a27
