index;time[nano];pubW;privS;secret[ECDH]
0;452380;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00cf339b9a252c4231eaed60fa346e7e80e46b5c1cc6f74aff79ed1f9573956796;7971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9
1;459102;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;1439d16b402533e0ee8ce55e257493faab0a15e7d3059548663c6539c1737e51;4f00806db434828d354619fb7d0e6d2dbf724d4b7aa8d79e081350b947f5f4a9
2;517332;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00f82045a06c0d50a385f411ab85a37b7cdba6e59f0bf7974def313ffd52a682fe;6007f313a98794513c1160f25ac0d27e843c9d33982286e60d5f8ae133831a0c
3;503947;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;30128565048c7fa98f2de9246d253c076375d3ba97cca7171fa3db3ad8167a4a;7b9beddc748338f56b840e57d9c7fec56cbdb79bb171e541ddd13d7f27a4dfaa
4;463391;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;008b0ecb08ca7ee7a8d2996cce723064a5cd5a8444e12e9cbcf899bc42ae7e3c1a;72e5a1d9e647a76cbab81a510a5b94a0056d9f4e142946cfd036537187817481
5;480242;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00d1069a929a505774ce2fd2cc35848bc385b56f7beed9ed0afd437e7790125661;1e1dbdef8ed28afe4e6b44e014cb7119412baa113f24d87fb2f064c35f5c4b1b
6;475713;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;48da53c7f45e088a4cbc86674f73416e03b04b367a4348ba109cbf7a77ef0b23;1e1dbdef8ed28afe4e6b44e014cb7119412baa113f24d87fb2f064c35f5c4b1b
7;480342;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;55df32442ab633d43b20f93a73023cd531b1814cf1ba1665d4f018aec37fcb3b;7fa8be3a3d027e793bd3c98675656ed90048cbe2e362b4fdb444c431712e145e
8;468570;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;0096127eff2c74d25cfadf8b983d6a31759b7769260f4603c7dbd90960f4c00892;9a2e622423a0cf800ee47718386c405b7a59da1f73915c8150bed0e3786aacee
9;460344;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00a6ea28af125078a51b561b1d5fda8a3db6a99249432d1788f5f496a7e076454b;4f00806db434828d354619fb7d0e6d2dbf724d4b7aa8d79e081350b947f5f4a9
10;500339;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00d1c4e593516ce5008f3ddd2aa3068523c533e67141bbcf68c5109b3661900726;69278785359e2bf566d8f1efa159156760116fd28eb27d559e125c3ffbe4bc4f
11;479020;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;4d5a2a5beda10728d9b395037cc8a91bbd3e303755b05bc6782b6572461939ca;ef941fcd13f7e697905085a8a6ca08c0383b8a7d4526c76e7be709792350e83c
12;461697;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;7e7bbcd5df44dd95d56606cbc9bf7da4893d58ff793ab7820bff68c741478ca4;7971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9
13;452460;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;15a5d896a800585cd39bb1d4d644b3dae458554041d3a7d9ee8e0e5841c28db4;6007f313a98794513c1160f25ac0d27e843c9d33982286e60d5f8ae133831a0c
14;461918;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00ebbd30172efa178cfb059ed6aa30e103c7f14e2155ada7e6818e38d80043fc47;3af156e78f80600694a955e2cfb1d1d54570d8cb45073e55763ecd48d534420a
15;436620;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00adbe53147a2e596094fdb76d6f213ee31c1208b5ada2e4079b93f6b9eb808535;def9cd8e0e8e610e745a5ae9dcb2e2673def9957d34aa9740f04cada38cca7ab
16;427894;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00ab5910911b89d2f78c8c85d354bd60f5bf9787a50174759e643b8f0f686233da;1e1dbdef8ed28afe4e6b44e014cb7119412baa113f24d87fb2f064c35f5c4b1b
17;474221;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;0098b34d7a002d9ed0cb1b99868b2af74a44844c82e2f2b8b33d232141404a688c;2405d114f3176b79de403a646734c10fc0095be35feeaded9a53fb6a5a3de575
18;418947;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;0084b78f70610be2027093d0e216967172165bb0a3134087138b25d6118364808a;3cd676e6d8b1c47a2b9926154c9c2124b64999aab364ab9e876527237f0b5852
19;413897;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;7e37035d122d4ca08141e069f6211da43a068e00b0b329803b4a30baa2662a69;63e93e3d2966d9c99a4fee58caefbf80dfaa2cf28eb513650eeb174c4e5679f4
20;396795;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;2932fc28b6f20275a881733f4fea325daad134f066711e50109e624d817170d9;7b3e606e8232e9c6ed77ae4b1624c2a474a7a5dd26a3759728e556c09c5dd75f
21;399711;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00f47d2b2de1ef1a2a8b23aaa31eae68cd99db0a86679247b4d1dadd6a2e5e2a10;4f00806db434828d354619fb7d0e6d2dbf724d4b7aa8d79e081350b947f5f4a9
22;433444;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00a2843f8aaeaa5ebb8a626b75669e3de9fbe1277bdeed486b9958112db15a0930;0d7d588da99a86aa3a6bdfb2b027b3ab5fa38f68f641c9fa877588be14dc3ad3
23;402677;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;575f58ad507338cd9c0d8edb2b175d97146fa81b849746f3981f9a4819f3508e;def9cd8e0e8e610e745a5ae9dcb2e2673def9957d34aa9740f04cada38cca7ab
24;382118;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;342b32f903b7cae05de9c4a9fcff3cdd98adf6aa1669bdd79fab11565f7eaf3d;9a2e622423a0cf800ee47718386c405b7a59da1f73915c8150bed0e3786aacee
25;379723;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;6cda6b1ecbbc8de97632f2ae82307fb5d5fa1ce9be76724e70c179aab5b6e70d;afddb04e5ecea920c991ac9dd3f12ca46aae7081223f4f13525ed20c25b12351
26;386105;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;00bfbca492b32b450af932951daad7419e25a266dbacff4fbfafda43531bb59c8f;850730202bf437ad92b0b3c1d7c6d280ac27c5eead2526d9d6de121703d34684
27;371698;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;4cfd803606f728f766dd98a384a33c2ff05cf87822ac9e059fc7cc1a9985937f;7b9beddc748338f56b840e57d9c7fec56cbdb79bb171e541ddd13d7f27a4dfaa
28;384101;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;6057fce7abb3ea9b220ab5ff115f77416a2f87f15e0a739d56174bc055e77bae;71287f5ef4a4d4cadb70e40b1672249dd7baf92b3c1187ae2c498b6bf40bd1f1
29;366609;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;009bf04d4d77a25bedcc85b6a50313cc409bd8dbb8fc5af0861410b0bba5642f4d;7fa8be3a3d027e793bd3c98675656ed90048cbe2e362b4fdb444c431712e145e
30;368983;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;0084bc807866cb3443d422b36227de2f2afd5d5d82b4876b82167c216e1f37812a;63e93e3d2966d9c99a4fee58caefbf80dfaa2cf28eb513650eeb174c4e5679f4
31;388830;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;13406f33c10efe760cf50305729df0578d8479c97d925984fbeb50cbcd4efd7a;d0dd9edf66ed436228cbf3c8a9f4f21ca1235bcf2897ede4778b6230d8555696
32;358253;047971c03966540f5a5a6ef23e6992289e81c377297421df9bb0133738b5b320a9de681b5f79f17eff2b18b3527051fe35981bd908352ecd1e8688d0f0208c4885;673ee14338d0b6b5b5280adb475571500c269df7e2b31f4e28d2b920a0bc5b0e;ea65a460f8b46b4bcd8dcd6467084fc9f8cdba6e271b354046c852c7f6c8304f
