index;time[nano];pubW;privS;secret[ECDH]
0;425870;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;17fcea0cf878a65b99788bffac7eaf01f710b1444738befd05e5dcc9c61d9869;7d7a659e7673a2d6fe9d77858adcc1f6bae31d3cf3f48b58ff6ea8aa1b24e882
1;423315;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;308efb6639b2f2bef218b974350776ef2f2094e5fb4704dfa02efe6622472be5;9a348e800a32d5b21ed9ec1cd57355e9a01ad39764b5536b0cf348580e65b965
2;441740;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;2b46fa42e08ede5832abff0e7b204dd08cf1f827dc639ae24843413452518458;4fc93c6bad86d83626bec2a7cb127832f89d0b5e2904890ee53e5dac72ed7921
3;566114;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;1b7b42fa66086e8247232d974a5ef7b0dac27cca3ad3a08aa883ab4a514fdb18;93bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4c
4;420149;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;0abb7873dd16f144817b5b608e967518d81dad4537ae5f467bf3807664fa9463;2c577f795b7891f72c612348dee0b84467b5ab837e5a14220fd176a4e10f85dc
5;448512;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;03e280a645f80104ee4d7fb9d3b6f1917341fc9e06e904ecd3de40328358032b;1d017564db9f6ec1ec7853bbabe633b6092b1e4d87186b2a50ecb6dcd6a94141
6;427182;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;01d9037ee7d0348615f57702935eb831153ca9768713135b6074e4c7c336bf31;d3f17dd342468336bacb53e1cae99c3f15993e4d4e7f4dad9ca75aca92e73e67
7;425459;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;1ce5dd91857f9c8202334a1d1122e1d7b9e79e01315c87bf0c1a144eb7890da2;12a5b7b93295c263cbcd12b59d374bc00bfb2c3baf3c0b12397a2439e336a001
8;424527;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;129f0e840ed24f975dc26515500971f40c6831e368d1d1deeacad0191a47cd57;77ded8450126cfe9e6261fcbc6751c7f63c02cf047de3dd8a255c63478fc6b39
9;421732;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;228a9654da1f488d4464e30b744c847cd8fe0486cafd5ec44bd3ec2016e85ca0;04a51a70dc323ab6cbb574847999c41723916defd973bcfd0400a68d194cd9cb
10;422122;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;0dacd47057ba0242f96df1af424e53e8fcb50ea6302f3017430e1876686346d7;9a348e800a32d5b21ed9ec1cd57355e9a01ad39764b5536b0cf348580e65b965
11;420460;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;0e2df7e8b79bdb6b106c4dab0d543d9649a770f054f22537690da10ea6a8f7f3;12a5b7b93295c263cbcd12b59d374bc00bfb2c3baf3c0b12397a2439e336a001
12;429447;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;1d5f6dabd15d831e2da80d282dabccec3f9c56be68721de25348186d18520b7d;d3f17dd342468336bacb53e1cae99c3f15993e4d4e7f4dad9ca75aca92e73e67
13;443283;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;1085c1144df044956382e9cbabd335278fad78c8a10c812bf3f3e56140e79608;12a5b7b93295c263cbcd12b59d374bc00bfb2c3baf3c0b12397a2439e336a001
14;425609;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;120d910780ecd77bb672f80f72943f6fc02afa3494b9dbcfdf3e0faae96defb4;9a348e800a32d5b21ed9ec1cd57355e9a01ad39764b5536b0cf348580e65b965
15;458350;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;202b840ca92f270eb12de3916763d8014c6ee97dab70eb4887070ab440d63f8f;2c577f795b7891f72c612348dee0b84467b5ab837e5a14220fd176a4e10f85dc
16;632598;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;15e12b283364d43e5961cc978db8143253c8e978cb6a6be43f9e449f92bde572;93bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4c
17;651834;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;1635f70714ef8f39972f575221ccfe97b2a558c5611798cc58432845fb50bcae;23550dbb0a87d1f319f67b37f554055c4ab3ed9eb54957870aac455af2739cc7
18;0;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;154f3a635c58c12f804764ba38f393502fb67221c2c67d51dd2abe5c99f14bb0;0
19;461206;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;1b8fcad451b9d256588ed3d99a610e5115049634386b76fee607f7908f988ba4;4fc93c6bad86d83626bec2a7cb127832f89d0b5e2904890ee53e5dac72ed7921
20;511881;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;16fd31f3eb8009af71239a1125970cba2688841e7d084331c811fb22d6776072;d3f17dd342468336bacb53e1cae99c3f15993e4d4e7f4dad9ca75aca92e73e67
21;457860;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;110e6bf449bb7c7b77eb0fb7b1eb3b8a669f96868a0f521749e9183a384cf566;1d017564db9f6ec1ec7853bbabe633b6092b1e4d87186b2a50ecb6dcd6a94141
22;521429;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;312b3f11c686d272fb4187d8c50126af8ccd684e32cea406a29b69da170bbf8b;2c577f795b7891f72c612348dee0b84467b5ab837e5a14220fd176a4e10f85dc
23;612801;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;3d04cb2ed2b1ba004bc0faa8e53d7878833485da92a1c3faa874c6319b6cd1a1;c24803f3f3eed56b34eb4cd2238259fb05a3946e76635a203ed6bff411a1fe99
24;665901;0493bf2bbda8a54cf4e4eac690768ebe76897c44b28cbc49e1d6326f30c20cec4ce833ebe5d3a641df5a32ad8c0589e0be4abaf08a57e3689c149215454726ad0c;35857e6647157ccb5578567aa9e560bea9d6568b8038c74fe2c8b3b376dcdea0;4fc93c6bad86d83626bec2a7cb127832f89d0b5e2904890ee53e5dac72ed7921
