index;time[nano];pubW;privS;secret[ECDH]
0;409840;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;288ba7edd0b948cb5466ed2ff51b03634712dea56c2f5ff9b92990d330bbbd5c;aeadf5655d85c05d3785ce58c099d66dfb5c5a72b97a5a4bf3fc0ba85b9fd25e
1;406173;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;0dae036f394f55b8dc3b35f5e547a4a06c5a5b65c65c1bcb2811207b68e57582;14978dba5d94dc9c5f79a2c40a2c8fc043d184a13445f1d8aa59b8148337b4b9
2;449164;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;0f296175649d3c3cf41fccd9ce9576ed08c9f894d177ec62a03f6b5e4bbb7dd5;23019fa5e737ce56e9c12bfe316faa9135aa7711ae059d7c4aef42288a8ebc13
3;499568;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;0f9847ab5d20875aaf6c9c16c43a9b73e73a8032fa2f679345b520821544b1de;f6beec2dd6bee8abb90690a2df18e1f4358f9581536f2154c7674a94a9c9ea8e
4;408367;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;1a581863b10772dc3ea7fe9f94d293a9964c494848f65ca3d24674ee15ef797a;506d633fc92a5b1b8e3369ff92987c26444a2fc86a1e5d0ff3bd7b06b323f718
5;369414;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;09f131d40d5fe0e2d45f966e9c3867e269679a6e05523e84e63ab632d0e1a141;14978dba5d94dc9c5f79a2c40a2c8fc043d184a13445f1d8aa59b8148337b4b9
6;411082;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;12dbc7e5acedacbe996215b4f664b0a9ee9e2f70b30aeed5e536b973ee322491;aeadf5655d85c05d3785ce58c099d66dfb5c5a72b97a5a4bf3fc0ba85b9fd25e
7;424377;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;1b44c33474196ba8d9145a21831c9f1c56a887f55bd07a5879e5232d3e1b3f53;23019fa5e737ce56e9c12bfe316faa9135aa7711ae059d7c4aef42288a8ebc13
8;409238;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;019a176aa8cfbfa877e76971b6ce2937ba5c51d719d039431754ebf54af79fd9;110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7
9;409539;04110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7f25db03828aedb999899230568736f6d1214ac07b2fec22657cf8a6e1cc89f5a;18db1914221d6f1f323871b9e7f3e0eed3731a6cd6f6f293915bd928ae02fb8a;110f1fc75318d904b41566c0d00925b061e87f1bbbc3a99ad0875eb7f94da1e7
