index;time[nano];pubW;privS;secret[ECDH]
0;432162;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;549e8fa449071e699a0b2a2fedc340dd7ec0e9aea990c682d1bd2bfcff782403;84acd9dc7b83738ceda586981a0a12c22162abf58576b125389cfcda46180bb7
1;433804;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;20afe9effa5ddf5d167d9b0edce8aaa7a052fe5748c422c7574e33445fdbae79;5a0cc00ee7d0219f4652e7310a4ad347467860c9f1163ad05ee75bf385610763
2;446429;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;246a8f63fdffffbd6369eba9f140f75d51e9bee7527ed29f8fa748d586111bc6;6587d8f85bb6d498fb518639276d0ea8202c64c3410d7959f9ae4fa8fffc1398
3;457259;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;6ebc674def6a82ac37296a8f019690193f115dcf6668d95d0ed4dfe9b31b3731;62e8b3e0c521c4b834601ffc171eb62f5e95da31414239627841ee60a95a5486
4;443704;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;259726c7bef72459af051e739558e45f36a7093b0b31d915a8b6c89a05a51bb0;315d9c431c4c72ace380e22fd26161df89c2eb6a10a6a394d878373f363be6a2
5;533823;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;3bf33ceb181a904df015583f88213bc085379ca314eaa3607c88c2c7da6a17f6;f9344c8741f2fb41e939355394cffb5969f86111dd58cf64beae23124a618959
6;458631;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;49bf01180291c619f5bc920643b58943073f4e0c75349fab523c926905ae6d70;5a0cc00ee7d0219f4652e7310a4ad347467860c9f1163ad05ee75bf385610763
7;654259;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;1c6c69c25654dc8f454213deff403f4337431b2c176485c4b25278ce1139f666;672c1eeabde4ac6780b071ceacf033540455f000398aabaaa1802d8125472eb9
8;464592;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;027765706fa9723afeab259667d818aaf0ff87f116c4b8e230e41b00ce8e4e53;672c1eeabde4ac6780b071ceacf033540455f000398aabaaa1802d8125472eb9
9;617279;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;6dbae07aa87059530e387a82a4e1bd2976b8b0bc3fa0a3070b10b6f7ad2ddcc7;c5be67f2073c5ae37bd4b0baaa1afa8bca3ab4f64aea57eca331d3f481280c1d
10;577625;0470a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b63fdb3a5157022baf2c19d84dd2657da03c92c273a2e96e6a63f1410b9607033b;7ed38e08e6bdf5c20afd28f2546fc14d617a1bd7f233c3f63b945b9813a208b4;70a15a2462e072ddfdc4a9fe471de74c44c38b0858e47d0684b26568b82860b6
